,val,start,end
0,110.44000000000001,2003-01-14 19:00:00,2003-01-30 19:00:00
0,108.27750000000002,2003-03-20 01:00:00,2003-04-28 01:00:00
0,109.035625,2003-04-08 07:00:00,2003-04-10 07:00:00
0,109.035625,2003-04-14 20:00:00,2003-04-27 20:00:00
0,111.05714285714286,2003-03-27 09:00:00,2003-04-01 09:00:00
0,111.8,2003-02-03 05:00:00,2003-03-19 05:00:00
0,113.61333333333334,2003-02-06 20:00:00,2003-03-17 20:00:00
0,114.91833333333334,2003-02-11 20:00:00,2003-02-19 20:00:00
0,116.0376923076923,2003-02-19 02:00:00,2003-02-20 02:00:00
0,116.0376923076923,2003-02-24 03:00:00,2003-03-14 03:00:00
0,116.92083333333333,2003-02-26 01:00:00,2003-03-03 01:00:00
0,116.92083333333333,2003-03-05 20:00:00,2003-03-12 20:00:00
0,108.17428571428572,2003-04-29 05:00:00,2003-07-22 05:00:00
0,110.19,2003-05-09 04:00:00,2003-07-22 04:00:00
0,111.27555555555556,2003-05-13 21:00:00,2003-07-21 21:00:00
0,112.21857142857144,2003-05-21 22:00:00,2003-07-21 22:00:00
0,113.21636363636362,2003-05-30 00:00:00,2003-07-22 00:00:00
0,114.05000000000001,2003-06-02 21:00:00,2003-06-03 21:00:00
0,114.05000000000001,2003-06-06 01:00:00,2003-06-19 01:00:00
0,114.05000000000001,2003-06-20 09:00:00,2003-07-22 09:00:00
0,114.90733333333333,2003-06-09 23:00:00,2003-06-14 23:00:00
0,114.90733333333333,2003-06-30 20:00:00,2003-07-21 20:00:00
0,116.07142857142856,2003-07-10 08:00:00,2003-07-22 08:00:00
0,112.49333333333334,2003-09-17 06:00:00,2003-10-13 06:00:00
0,113.52799999999999,2003-09-14 23:00:00,2003-09-16 23:00:00
0,113.52799999999999,2003-09-24 20:00:00,2003-10-13 20:00:00
0,114.57608695652176,2003-09-03 16:00:00,2003-09-14 16:00:00
0,114.57608695652176,2003-09-30 23:00:00,2003-10-13 23:00:00
0,115.50666666666669,2003-10-06 03:00:00,2003-10-08 03:00:00
0,116.4909090909091,2003-07-30 21:00:00,2003-09-01 21:00:00
0,117.3094736842105,2003-08-04 00:00:00,2003-08-13 00:00:00
0,117.3094736842105,2003-08-24 22:00:00,2003-08-26 22:00:00
0,113.80800000000002,2003-10-29 17:00:00,2004-01-13 17:00:00
0,115.05666666666666,2003-10-20 01:00:00,2003-10-29 01:00:00
0,115.93071428571429,2003-11-10 00:00:00,2004-01-13 00:00:00
0,116.74166666666669,2003-10-14 17:00:00,2003-10-19 17:00:00
0,116.74166666666669,2003-11-12 20:00:00,2003-11-23 20:00:00
0,116.74166666666669,2003-12-02 21:00:00,2004-01-12 21:00:00
